school,degree_category,program_category,year,count
University of Cincinnati,Doctorate,Statistics,2005,0
University of Cincinnati,Doctorate,Biostatistics,2005,0
University of Colorado Denver,Master,Biostatistics,2005,0
University of Colorado Denver,Doctorate,Biostatistics,2005,0
University of Denver,Master,Statistics,2005,0
University of Florida,Master,Biostatistics,2005,0
University of Florida,Doctorate,Biostatistics,2005,0
University of Georgia,Master,Biostatistics,2005,0
University of Kansas,Master,Biostatistics,2005,0
University of Kansas,Doctorate,Biostatistics,2005,0
University of Maine,Master,Statistics,2005,0
University of Massachusetts Amherst,Master,Biostatistics,2005,0
University of Massachusetts Amherst,Doctorate,Biostatistics,2005,0
University of Miami,Master,Biostatistics,2005,0
University of Mississippi Medical Center,Doctorate,Biostatistics,2005,0
University of Missouri-Kansas City,Master,Biostatistics,2005,0
University of New Hampshire,Doctorate,Statistics,2005,0
University of North Texas Health Science Center,Master,Biostatistics,2005,0
University of Rochester,Master,Biostatistics,2005,0
University of Rochester,Doctorate,Statistics,2005,0
University of South Florida,Master,Statistics,2005,0
University of Texas at Dallas,Doctorate,Statistics,2005,0
University of Texas at San Antonio,Doctorate,Statistics,2005,0
University of Texas Southwestern Medical Center,Master,Biostatistics,2005,0
University of the Incarnate Word,Master,Statistics,2005,0
University of Toledo,Master,Biostatistics,2005,0
University of Utah,Master,Statistics,2005,0
Vanderbilt University,Master,Biostatistics,2005,0
Washington University in St. Louis,Master,Statistics,2005,0
Washington University in St. Louis,Master,Biostatistics,2005,0
Western Michigan University,Master,Biostatistics,2005,0
Columbia University,Master,Statistics,2006,110
Ohio State University,Master,Statistics,2006,50
Rutgers University,Master,Statistics,2006,40
Iowa State University,Master,Statistics,2006,36
University of Michigan,Master,Statistics,2006,32
University of Iowa,Master,Statistics,2006,30
"California State University, East Bay",Master,Statistics,2006,29
Michigan State University,Master,Statistics,2006,28
North Carolina State University,Master,Statistics,2006,28
Stanford University,Master,Statistics,2006,27
Harvard University,Master,Statistics,2006,26
University of Georgia,Master,Statistics,2006,26
"University of California, Los Angeles",Master,Statistics,2006,25
Harvard University,Master,Biostatistics,2006,24
Boston University,Master,Biostatistics,2006,23
Cornell University,Master,Statistics,2006,23
Pennsylvania State University,Master,Statistics,2006,23
University of Southern California,Master,Biostatistics,2006,23
University of Illinois at Urbana-Champaign,Master,Statistics,2006,22
University of Chicago,Master,Statistics,2006,21
"University of California, Los Angeles",Master,Biostatistics,2006,20
University of Michigan,Master,Biostatistics,2006,20
University of Minnesota,Master,Biostatistics,2006,20
Rochester Institute of Technology,Master,Statistics,2006,19
Columbia University,Master,Biostatistics,2006,18
San Diego State University,Master,Statistics,2006,18
New Jersey Institute of Technology,Master,Statistics,2006,16
Purdue University,Master,Statistics,2006,16
University of North Carolina at Chapel Hill,Master,Biostatistics,2006,16
University of Washington,Master,Biostatistics,2006,16
University of Wisconsin-Madison,Master,Statistics,2006,16
George Mason University,Master,Statistics,2006,15
Texas A&M University,Master,Statistics,2006,15
University of Iowa,Master,Biostatistics,2006,15
University of Nebraska-Lincoln,Master,Statistics,2006,15
Western Michigan University,Master,Statistics,2006,15
West Virginia University,Master,Statistics,2006,15
Harvard University,Doctorate,Biostatistics,2006,14
Villanova University,Master,Statistics,2006,14
Carnegie Mellon University,Master,Statistics,2006,13
North Carolina State University,Doctorate,Statistics,2006,13
Northern Illinois University,Master,Statistics,2006,13
University of Florida,Master,Statistics,2006,13
University of Minnesota,Master,Statistics,2006,13
Carnegie Mellon University,Doctorate,Statistics,2006,12
Kansas State University,Master,Statistics,2006,12
Ohio State University,Doctorate,Statistics,2006,12
"University of California, Berkeley",Master,Statistics,2006,12
University of Central Florida,Master,Statistics,2006,12
University of Tennessee Knoxville,Master,Statistics,2006,12
Bowling Green State University,Master,Statistics,2006,11
Iowa State University,Doctorate,Statistics,2006,11
Oregon State University,Master,Statistics,2006,11
Rice University,Doctorate,Statistics,2006,11
University of Texas at Austin,Master,Statistics,2006,11
University of Texas at San Antonio,Master,Statistics,2006,11
West Chester University,Master,Statistics,2006,11
Brigham Young University,Master,Statistics,2006,10
Florida State University,Master,Statistics,2006,10
Texas A&M University,Doctorate,Statistics,2006,10
University of Washington,Master,Statistics,2006,10
Virginia Tech,Master,Statistics,2006,10
Columbia University,Doctorate,Statistics,2006,9
Georgia Institute of Technology,Master,Statistics,2006,9
Louisiana State University,Master,Statistics,2006,9
"University of California, Santa Barbara",Master,Statistics,2006,9
University of Delaware,Master,Statistics,2006,9
University of Florida,Doctorate,Statistics,2006,9
University of Idaho,Master,Statistics,2006,9
University of Missouri,Master,Statistics,2006,9
University of New Mexico,Master,Statistics,2006,9
University of North Carolina at Chapel Hill,Master,Statistics,2006,9
University of Pittsburgh,Master,Statistics,2006,9
University of Texas at Dallas,Master,Statistics,2006,9
University of Wisconsin-Madison,Doctorate,Statistics,2006,9
Wright State University,Master,Statistics,2006,9
Yale University,Master,Statistics,2006,9
Colorado State University,Master,Statistics,2006,8
Emory University,Master,Biostatistics,2006,8
Purdue University,Doctorate,Statistics,2006,8
Syracuse University,Master,Statistics,2006,8
"University at Albany, State University of New York",Master,Statistics,2006,8
University of Akron,Master,Statistics,2006,8
University of Connecticut,Master,Statistics,2006,8
University of Minnesota,Doctorate,Statistics,2006,8
University of North Carolina at Chapel Hill,Doctorate,Biostatistics,2006,8
University of Texas Health Science Center at Houston,Master,Biostatistics,2006,8
University of Virginia,Master,Statistics,2006,8
Virginia Tech,Doctorate,Statistics,2006,8
Auburn University,Master,Statistics,2006,7
Baylor University,Master,Statistics,2006,7
DePaul University,Master,Statistics,2006,7
Duke University,Doctorate,Statistics,2006,7
Oklahoma State University,Master,Statistics,2006,7
Sam Houston State University,Master,Statistics,2006,7
Southern Methodist University,Master,Statistics,2006,7
University of Arkansas,Master,Statistics,2006,7
"University of California, Berkeley",Master,Biostatistics,2006,7
"University of California, Berkeley",Doctorate,Statistics,2006,7
"University of California, Davis",Master,Statistics,2006,7
University of Denver,Master,Statistics,2006,7
University of Houston,Master,Statistics,2006,7
University of Michigan,Doctorate,Biostatistics,2006,7
University of Pittsburgh,Master,Biostatistics,2006,7
University of South Carolina,Master,Statistics,2006,7
Worcester Polytechnic Institute,Master,Statistics,2006,7
Miami University,Master,Statistics,2006,6
Michigan State University,Doctorate,Statistics,2006,6
Rice University,Master,Statistics,2006,6
Stanford University,Doctorate,Statistics,2006,6
University of Alabama,Master,Statistics,2006,6
"University of California, Los Angeles",Doctorate,Statistics,2006,6
"University of California, Los Angeles",Doctorate,Biostatistics,2006,6
"University of California, Riverside",Master,Statistics,2006,6
"University of California, San Diego",Master,Statistics,2006,6
"University of California, Santa Barbara",Doctorate,Statistics,2006,6
University of Chicago,Doctorate,Statistics,2006,6
University of Georgia,Doctorate,Statistics,2006,6
"University of Maryland, Baltimore County",Doctorate,Statistics,2006,6
University of North Carolina at Chapel Hill,Doctorate,Statistics,2006,6
University of Washington,Doctorate,Biostatistics,2006,6
Virginia Commonwealth University,Doctorate,Biostatistics,2006,6
Arizona State University,Master,Statistics,2006,5
Emory University,Doctorate,Biostatistics,2006,5
New Mexico State University,Master,Statistics,2006,5
Texas Tech University,Master,Statistics,2006,5
"University of California, Berkeley",Doctorate,Biostatistics,2006,5
University of Illinois at Urbana-Champaign,Doctorate,Statistics,2006,5
University of Louisville,Master,Biostatistics,2006,5
University of Maryland,Master,Statistics,2006,5
University of Missouri,Doctorate,Statistics,2006,5
Utah State University,Master,Statistics,2006,5
Wayne State University,Master,Statistics,2006,5
Ball State University,Master,Statistics,2006,4
Harvard University,Doctorate,Statistics,2006,4
Kansas State University,Doctorate,Statistics,2006,4
Montana State University,Master,Statistics,2006,4
Portland State University,Master,Statistics,2006,4
"University at Buffalo, State University of New York",Master,Biostatistics,2006,4
University of Alabama,Doctorate,Statistics,2006,4
"University of California, Davis",Doctorate,Statistics,2006,4
University of Kentucky,Doctorate,Statistics,2006,4
University of Minnesota,Doctorate,Biostatistics,2006,4
University of Pennsylvania,Master,Statistics,2006,4
University of Pennsylvania,Master,Biostatistics,2006,4
University of Pittsburgh,Doctorate,Biostatistics,2006,4
University of Southern California,Master,Statistics,2006,4
University of Utah,Master,Biostatistics,2006,4
University of Vermont,Master,Statistics,2006,4
University of Washington,Doctorate,Statistics,2006,4
Virginia Commonwealth University,Master,Biostatistics,2006,4
Washington State University,Master,Statistics,2006,4
Baylor University,Doctorate,Statistics,2006,3
Brown University,Master,Biostatistics,2006,3
Colorado State University,Doctorate,Statistics,2006,3
Columbia University,Doctorate,Biostatistics,2006,3
Florida State University,Doctorate,Statistics,2006,3
George Washington University,Doctorate,Statistics,2006,3
Lehigh University,Master,Statistics,2006,3
Montclair State University,Master,Statistics,2006,3
New York Medical College,Master,Biostatistics,2006,3
Oakland University,Master,Statistics,2006,3
Oregon State University,Doctorate,Statistics,2006,3
Rutgers University,Doctorate,Statistics,2006,3
Saint Louis University,Master,Biostatistics,2006,3
University of Alabama at Birmingham,Master,Biostatistics,2006,3
"University of California, Davis",Master,Biostatistics,2006,3
University of Iowa,Doctorate,Biostatistics,2006,3
University of Maryland,Doctorate,Statistics,2006,3
University of Michigan,Doctorate,Statistics,2006,3
University of Pennsylvania,Doctorate,Statistics,2006,3
University of Rochester,Master,Statistics,2006,3
University of Southern California,Doctorate,Biostatistics,2006,3
University of Texas at Dallas,Doctorate,Statistics,2006,3
University of Texas at El Paso,Master,Statistics,2006,3
American University,Master,Statistics,2006,2
Boston University,Doctorate,Biostatistics,2006,2
Case Western Reserve University,Doctorate,Statistics,2006,2
Cornell University,Doctorate,Statistics,2006,2
Duke University,Master,Statistics,2006,2
Florida International University,Master,Statistics,2006,2
George Washington University,Master,Statistics,2006,2
Medical College of Wisconsin,Doctorate,Biostatistics,2006,2
Northern Arizona University,Master,Statistics,2006,2
Tulane University,Master,Biostatistics,2006,2
"University of California, Riverside",Doctorate,Statistics,2006,2
University of Connecticut,Doctorate,Statistics,2006,2
University of Kentucky,Master,Statistics,2006,2
"University of Maryland, Baltimore County",Master,Statistics,2006,2
University of Nebraska-Lincoln,Doctorate,Statistics,2006,2
University of Oklahoma,Master,Biostatistics,2006,2
University of Pennsylvania,Doctorate,Biostatistics,2006,2
University of Pittsburgh,Doctorate,Statistics,2006,2
University of Rochester,Doctorate,Statistics,2006,2
University of South Carolina,Doctorate,Statistics,2006,2
University of Southern Maine,Master,Statistics,2006,2
Western Michigan University,Doctorate,Statistics,2006,2
Yale University,Master,Biostatistics,2006,2
American University,Doctorate,Statistics,2006,1
George Washington University,Master,Biostatistics,2006,1
George Washington University,Doctorate,Biostatistics,2006,1
Loma Linda University,Master,Biostatistics,2006,1
Medical College of Wisconsin,Master,Biostatistics,2006,1
Mississippi State University,Master,Statistics,2006,1
North Dakota State University,Master,Statistics,2006,1
Northwestern University,Master,Statistics,2006,1
Northwestern University,Doctorate,Statistics,2006,1
Ohio State University,Master,Biostatistics,2006,1
Ohio State University,Doctorate,Biostatistics,2006,1
Pennsylvania State University,Doctorate,Statistics,2006,1
Southern Methodist University,Doctorate,Statistics,2006,1
Tulane University,Master,Statistics,2006,1
University of Arizona,Doctorate,Statistics,2006,1
University of Louisville,Doctorate,Biostatistics,2006,1
University of Mississippi Medical Center,Doctorate,Biostatistics,2006,1
University of New Mexico,Doctorate,Statistics,2006,1
University of Oklahoma,Doctorate,Biostatistics,2006,1
University of Rhode Island,Master,Statistics,2006,1
University of Rochester,Master,Biostatistics,2006,1
University of South Carolina,Master,Biostatistics,2006,1
University of South Carolina,Doctorate,Biostatistics,2006,1
University of Texas Southwestern Medical Center,Master,Biostatistics,2006,1
University of Vermont,Master,Biostatistics,2006,1
University of Wyoming,Master,Statistics,2006,1
Yale University,Doctorate,Statistics,2006,1
Arizona State University,Doctorate,Statistics,2006,0
Augusta University,Master,Biostatistics,2006,0
Augusta University,Doctorate,Biostatistics,2006,0
"Baruch College, City University of New York",Master,Statistics,2006,0
Boston University,Master,Statistics,2006,0
Bowling Green State University,Doctorate,Statistics,2006,0
Brown University,Doctorate,Biostatistics,2006,0
"California State University, East Bay",Master,Biostatistics,2006,0
California State University-Fullerton,Master,Statistics,2006,0
"California State University, Long Beach",Master,Statistics,2006,0
Case Western Reserve University,Master,Statistics,2006,0
Drexel University,Master,Biostatistics,2006,0
Duke University,Master,Biostatistics,2006,0
Eastern Kentucky University,Master,Statistics,2006,0
Eastern Michigan University,Master,Statistics,2006,0
Florida State University,Master,Biostatistics,2006,0
Florida State University,Doctorate,Biostatistics,2006,0
Fordham University,Master,Statistics,2006,0
George Mason University,Master,Biostatistics,2006,0
George Mason University,Doctorate,Statistics,2006,0
Georgetown University,Master,Statistics,2006,0
Georgetown University,Master,Biostatistics,2006,0
Georgia Health Sciences University,Master,Biostatistics,2006,0
Grand Valley State University,Master,Biostatistics,2006,0
"Hunter College, City University of New York",Master,Statistics,2006,0
Icahn School of Medicine at Mount Sinai,Master,Biostatistics,2006,0
Indiana University,Master,Statistics,2006,0
Indiana University,Master,Biostatistics,2006,0
Johns Hopkins University,Master,Biostatistics,2006,0
Johns Hopkins University,Doctorate,Biostatistics,2006,0
Kennesaw State University,Master,Statistics,2006,0
Louisiana State University,Master,Biostatistics,2006,0
Louisiana State University,Doctorate,Biostatistics,2006,0
Loyola University Chicago,Master,Statistics,2006,0
Marquette University,Master,Statistics,2006,0
Michigan State University,Master,Biostatistics,2006,0
Minnesota State University-Mankato,Master,Statistics,2006,0
Montana State University,Doctorate,Statistics,2006,0
National University,Master,Statistics,2006,0
New Jersey Institute of Technology,Master,Biostatistics,2006,0
New York University,Master,Statistics,2006,0
North Dakota State University,Doctorate,Statistics,2006,0
Northwestern University,Master,Biostatistics,2006,0
Oklahoma State University,Doctorate,Statistics,2006,0
Oregon Health & Science University,Master,Biostatistics,2006,0
Pennsylvania State University-College of Medicine,Doctorate,Biostatistics,2006,0
Pennsylvania State University-World Campus,Master,Statistics,2006,0
Purdue University,Master,Biostatistics,2006,0
Purdue University,Doctorate,Biostatistics,2006,0
Rutgers University,Master,Biostatistics,2006,0
Saint Cloud State University,Master,Statistics,2006,0
San Jose State University,Master,Statistics,2006,0
South Dakota State University,Master,Statistics,2006,0
Stephen F Austin State University,Master,Statistics,2006,0
Stevens Institute of Technology,Master,Statistics,2006,0
Temple University,Master,Statistics,2006,0
Temple University,Doctorate,Statistics,2006,0
Texas A&M University,Master,Biostatistics,2006,0
Tulane University,Doctorate,Biostatistics,2006,0
"University at Albany, State University of New York",Doctorate,Statistics,2006,0
"University at Buffalo, State University of New York",Doctorate,Statistics,2006,0
"University at Buffalo, State University of New York",Doctorate,Biostatistics,2006,0
University of Alabama at Birmingham,Doctorate,Biostatistics,2006,0
University of Arizona,Master,Statistics,2006,0
University of Arizona,Master,Biostatistics,2006,0
University of Arizona,Doctorate,Biostatistics,2006,0
"University of California, Davis",Doctorate,Biostatistics,2006,0
"University of California, Irvine",Master,Statistics,2006,0
"University of California, Irvine",Doctorate,Statistics,2006,0
University of Central Oklahoma,Master,Statistics,2006,0
University of Cincinnati,Master,Statistics,2006,0
University of Cincinnati,Master,Biostatistics,2006,0
University of Cincinnati,Doctorate,Statistics,2006,0
University of Cincinnati,Doctorate,Biostatistics,2006,0
University of Colorado Denver,Master,Biostatistics,2006,0
University of Colorado Denver,Doctorate,Biostatistics,2006,0
University of Florida,Master,Biostatistics,2006,0
University of Florida,Doctorate,Biostatistics,2006,0
University of Georgia,Master,Biostatistics,2006,0
University of Hawaii at Manoa,Doctorate,Biostatistics,2006,0
University of Iowa,Doctorate,Statistics,2006,0
University of Kansas,Master,Biostatistics,2006,0
University of Kansas,Doctorate,Biostatistics,2006,0
University of Maine,Master,Statistics,2006,0
University of Massachusetts Amherst,Master,Biostatistics,2006,0
University of Massachusetts Amherst,Doctorate,Biostatistics,2006,0
University of Miami,Master,Statistics,2006,0
University of Miami,Master,Biostatistics,2006,0
University of Mississippi Medical Center,Master,Biostatistics,2006,0
University of Missouri-Kansas City,Master,Biostatistics,2006,0
University of New Hampshire,Doctorate,Statistics,2006,0
University of North Texas Health Science Center,Master,Biostatistics,2006,0
University of South Florida,Master,Statistics,2006,0
University of Texas at San Antonio,Doctorate,Statistics,2006,0
University of Texas Health Science Center at Houston,Doctorate,Biostatistics,2006,0
University of the Incarnate Word,Master,Statistics,2006,0
University of Toledo,Master,Biostatistics,2006,0
University of Utah,Master,Statistics,2006,0
University of Virginia,Doctorate,Statistics,2006,0
University of Wyoming,Doctorate,Statistics,2006,0
Vanderbilt University,Master,Biostatistics,2006,0
Washington University in St. Louis,Master,Statistics,2006,0
Washington University in St. Louis,Master,Biostatistics,2006,0
Western Michigan University,Master,Biostatistics,2006,0
Columbia University,Master,Statistics,2007,130
Stanford University,Master,Statistics,2007,56
Ohio State University,Master,Statistics,2007,46
"California State University, East Bay",Master,Statistics,2007,39
Rutgers University,Master,Statistics,2007,39
University of Iowa,Master,Statistics,2007,38
Michigan State University,Master,Statistics,2007,32
Purdue University,Master,Statistics,2007,32
Harvard University,Master,Statistics,2007,31
University of Michigan,Master,Statistics,2007,31
North Carolina State University,Master,Statistics,2007,29
University of Illinois at Urbana-Champaign,Master,Statistics,2007,29
Iowa State University,Master,Statistics,2007,28
University of Minnesota,Master,Statistics,2007,26
"University of California, Santa Barbara",Master,Statistics,2007,23
University of Michigan,Master,Biostatistics,2007,23
North Carolina State University,Doctorate,Statistics,2007,22
University of Central Florida,Master,Statistics,2007,21
Columbia University,Master,Biostatistics,2007,20
University of Wisconsin-Madison,Doctorate,Statistics,2007,20
Cornell University,Master,Statistics,2007,19
Rochester Institute of Technology,Master,Statistics,2007,19
University of North Carolina at Chapel Hill,Master,Biostatistics,2007,19
Texas A&M University,Master,Statistics,2007,18
University of Chicago,Master,Statistics,2007,18
University of Wisconsin-Madison,Master,Statistics,2007,18
Pennsylvania State University,Master,Statistics,2007,17
University of Georgia,Master,Statistics,2007,17
Boston University,Master,Biostatistics,2007,16
"University of California, Berkeley",Master,Statistics,2007,16
University of Kentucky,Master,Statistics,2007,16
University of Minnesota,Master,Biostatistics,2007,16
George Mason University,Master,Statistics,2007,15
Louisiana State University,Master,Statistics,2007,15
San Diego State University,Master,Statistics,2007,15
"University of California, Los Angeles",Master,Statistics,2007,15
Virginia Tech,Master,Statistics,2007,15
Brigham Young University,Master,Statistics,2007,14
Carnegie Mellon University,Master,Statistics,2007,14
Iowa State University,Doctorate,Statistics,2007,14
New Jersey Institute of Technology,Master,Statistics,2007,14
West Virginia University,Master,Statistics,2007,14
Harvard University,Doctorate,Biostatistics,2007,13
Oregon State University,Master,Statistics,2007,13
"University of California, Los Angeles",Master,Biostatistics,2007,13
University of Nebraska-Lincoln,Master,Statistics,2007,13
University of Washington,Master,Biostatistics,2007,13
Colorado State University,Master,Statistics,2007,12
Ohio State University,Doctorate,Statistics,2007,12
University of Cincinnati,Master,Statistics,2007,12
University of Iowa,Master,Biostatistics,2007,12
Yale University,Master,Statistics,2007,12
Georgia Institute of Technology,Master,Statistics,2007,11
Rice University,Master,Statistics,2007,11
University of New Mexico,Master,Statistics,2007,11
University of Tennessee Knoxville,Master,Statistics,2007,11
Washington State University,Master,Statistics,2007,11
Emory University,Master,Biostatistics,2007,10
George Washington University,Master,Statistics,2007,10
University of Delaware,Master,Statistics,2007,10
University of North Carolina at Chapel Hill,Master,Statistics,2007,10
University of Pittsburgh,Master,Biostatistics,2007,10
Auburn University,Master,Statistics,2007,9
Harvard University,Master,Biostatistics,2007,9
Stanford University,Doctorate,Statistics,2007,9
"University of California, Los Angeles",Doctorate,Statistics,2007,9
University of Pittsburgh,Master,Statistics,2007,9
University of Pittsburgh,Doctorate,Biostatistics,2007,9
University of South Carolina,Master,Statistics,2007,9
University of Southern California,Master,Statistics,2007,9
University of Southern California,Master,Biostatistics,2007,9
University of Texas at Austin,Master,Statistics,2007,9
Villanova University,Master,Statistics,2007,9
West Chester University,Master,Statistics,2007,9
Columbia University,Doctorate,Biostatistics,2007,8
Kansas State University,Master,Statistics,2007,8
Loma Linda University,Master,Biostatistics,2007,8
Pennsylvania State University,Doctorate,Statistics,2007,8
Purdue University,Doctorate,Statistics,2007,8
"University of California, Davis",Doctorate,Statistics,2007,8
University of Connecticut,Doctorate,Statistics,2007,8
University of Florida,Master,Statistics,2007,8
"University of Maryland, Baltimore County",Master,Statistics,2007,8
University of Michigan,Doctorate,Statistics,2007,8
University of Michigan,Doctorate,Biostatistics,2007,8
University of Minnesota,Doctorate,Statistics,2007,8
University of Pennsylvania,Master,Statistics,2007,8
University of Texas at San Antonio,Master,Statistics,2007,8
University of Washington,Doctorate,Biostatistics,2007,8
Western Michigan University,Master,Statistics,2007,8
New Mexico State University,Master,Statistics,2007,7
Portland State University,Master,Statistics,2007,7
Texas A&M University,Doctorate,Statistics,2007,7
University of Arkansas,Master,Statistics,2007,7
"University of California, Berkeley",Doctorate,Statistics,2007,7
"University of California, Davis",Master,Biostatistics,2007,7
"University of California, Los Angeles",Doctorate,Biostatistics,2007,7
"University of California, Riverside",Master,Statistics,2007,7
University of Florida,Doctorate,Statistics,2007,7
University of Houston,Master,Statistics,2007,7
University of Iowa,Doctorate,Statistics,2007,7
University of Minnesota,Doctorate,Biostatistics,2007,7
University of Texas Health Science Center at Houston,Master,Biostatistics,2007,7
Virginia Tech,Doctorate,Statistics,2007,7
Wright State University,Master,Statistics,2007,7
American University,Master,Statistics,2007,6
Arizona State University,Master,Statistics,2007,6
Baylor University,Doctorate,Statistics,2007,6
Carnegie Mellon University,Doctorate,Statistics,2007,6
Cornell University,Doctorate,Statistics,2007,6
Duke University,Master,Statistics,2007,6
Florida State University,Master,Statistics,2007,6
Florida State University,Doctorate,Statistics,2007,6
Montana State University,Master,Statistics,2007,6
North Dakota State University,Master,Statistics,2007,6
Northern Illinois University,Master,Statistics,2007,6
University of Alabama,Master,Statistics,2007,6
"University of California, Berkeley",Master,Biostatistics,2007,6
"University of California, Davis",Master,Statistics,2007,6
"University of California, Riverside",Doctorate,Statistics,2007,6
University of Connecticut,Master,Statistics,2007,6
University of Denver,Master,Statistics,2007,6
University of Illinois at Urbana-Champaign,Doctorate,Statistics,2007,6
University of Missouri,Master,Statistics,2007,6
University of Missouri,Doctorate,Statistics,2007,6
University of Pennsylvania,Doctorate,Biostatistics,2007,6
University of Utah,Master,Biostatistics,2007,6
University of Virginia,Master,Statistics,2007,6
Boston University,Doctorate,Biostatistics,2007,5
Duke University,Doctorate,Statistics,2007,5
Michigan State University,Doctorate,Statistics,2007,5
New York Medical College,Master,Biostatistics,2007,5
Oklahoma State University,Master,Statistics,2007,5
Saint Louis University,Master,Biostatistics,2007,5
Stephen F Austin State University,Master,Statistics,2007,5
Tulane University,Master,Biostatistics,2007,5
University of Idaho,Master,Statistics,2007,5
University of North Carolina at Chapel Hill,Doctorate,Biostatistics,2007,5
University of Pennsylvania,Master,Biostatistics,2007,5
University of Texas Health Science Center at Houston,Doctorate,Biostatistics,2007,5
University of Washington,Doctorate,Statistics,2007,5
Wayne State University,Master,Statistics,2007,5
Worcester Polytechnic Institute,Master,Statistics,2007,5
Baylor University,Master,Statistics,2007,4
Colorado State University,Doctorate,Statistics,2007,4
Montclair State University,Master,Statistics,2007,4
Northern Arizona University,Master,Statistics,2007,4
Northwestern University,Master,Statistics,2007,4
Rice University,Doctorate,Statistics,2007,4
Rutgers University,Doctorate,Statistics,2007,4
Sam Houston State University,Master,Statistics,2007,4
Southern Methodist University,Doctorate,Statistics,2007,4
Texas Tech University,Master,Statistics,2007,4
"University at Albany, State University of New York",Master,Statistics,2007,4
University of Akron,Master,Statistics,2007,4
"University of California, Berkeley",Doctorate,Biostatistics,2007,4
University of Chicago,Doctorate,Statistics,2007,4
University of Kentucky,Doctorate,Statistics,2007,4
University of Pennsylvania,Doctorate,Statistics,2007,4
University of Pittsburgh,Doctorate,Statistics,2007,4
University of South Carolina,Master,Biostatistics,2007,4
University of South Carolina,Doctorate,Statistics,2007,4
University of South Carolina,Doctorate,Biostatistics,2007,4
University of Southern Maine,Master,Statistics,2007,4
University of Texas at Dallas,Master,Statistics,2007,4
University of Texas at Dallas,Doctorate,Statistics,2007,4
Utah State University,Master,Statistics,2007,4
Ball State University,Master,Statistics,2007,3
Brown University,Doctorate,Biostatistics,2007,3
Columbia University,Doctorate,Statistics,2007,3
DePaul University,Master,Statistics,2007,3
Florida International University,Master,Statistics,2007,3
Florida State University,Master,Biostatistics,2007,3
George Washington University,Master,Biostatistics,2007,3
Medical College of Wisconsin,Master,Biostatistics,2007,3
Miami University,Master,Statistics,2007,3
Mississippi State University,Master,Statistics,2007,3
Northwestern University,Doctorate,Statistics,2007,3
Southern Methodist University,Master,Statistics,2007,3
"University at Buffalo, State University of New York",Master,Biostatistics,2007,3
University of Alabama at Birmingham,Master,Biostatistics,2007,3
"University of California, Santa Barbara",Doctorate,Statistics,2007,3
University of Louisville,Master,Biostatistics,2007,3
University of Maryland,Master,Statistics,2007,3
University of New Mexico,Doctorate,Statistics,2007,3
University of Oklahoma,Master,Biostatistics,2007,3
University of Rhode Island,Master,Statistics,2007,3
University of Rochester,Master,Statistics,2007,3
University of Texas at El Paso,Master,Statistics,2007,3
Virginia Commonwealth University,Master,Biostatistics,2007,3
Virginia Commonwealth University,Doctorate,Biostatistics,2007,3
American University,Doctorate,Statistics,2007,2
Bowling Green State University,Master,Statistics,2007,2
Case Western Reserve University,Master,Statistics,2007,2
Emory University,Doctorate,Biostatistics,2007,2
George Washington University,Doctorate,Biostatistics,2007,2
Harvard University,Doctorate,Statistics,2007,2
Lehigh University,Master,Statistics,2007,2
Oakland University,Master,Statistics,2007,2
Ohio State University,Doctorate,Biostatistics,2007,2
Oklahoma State University,Doctorate,Statistics,2007,2
Oregon State University,Doctorate,Statistics,2007,2
Syracuse University,Master,Statistics,2007,2
Tulane University,Master,Statistics,2007,2
Tulane University,Doctorate,Biostatistics,2007,2
"University of California, Davis",Doctorate,Biostatistics,2007,2
"University of California, San Diego",Master,Statistics,2007,2
University of Georgia,Doctorate,Statistics,2007,2
"University of Maryland, Baltimore County",Doctorate,Statistics,2007,2
University of Mississippi Medical Center,Doctorate,Biostatistics,2007,2
University of Rochester,Master,Biostatistics,2007,2
University of Rochester,Doctorate,Statistics,2007,2
University of Vermont,Master,Statistics,2007,2
University of Vermont,Master,Biostatistics,2007,2
University of Washington,Master,Statistics,2007,2
Washington University in St. Louis,Master,Statistics,2007,2
Western Michigan University,Master,Biostatistics,2007,2
Yale University,Doctorate,Statistics,2007,2
Brown University,Master,Biostatistics,2007,1
Case Western Reserve University,Doctorate,Statistics,2007,1
Eastern Michigan University,Master,Statistics,2007,1
Georgetown University,Master,Statistics,2007,1
Kansas State University,Doctorate,Statistics,2007,1
Medical College of Wisconsin,Doctorate,Biostatistics,2007,1
"University at Buffalo, State University of New York",Doctorate,Biostatistics,2007,1
University of Alabama,Doctorate,Statistics,2007,1
University of Iowa,Doctorate,Biostatistics,2007,1
University of Louisville,Doctorate,Biostatistics,2007,1
University of Maryland,Doctorate,Statistics,2007,1
University of North Carolina at Chapel Hill,Doctorate,Statistics,2007,1
University of Oklahoma,Doctorate,Biostatistics,2007,1
University of Southern California,Doctorate,Biostatistics,2007,1
University of South Florida,Master,Statistics,2007,1
University of Wyoming,Master,Statistics,2007,1
Western Michigan University,Doctorate,Statistics,2007,1
Arizona State University,Doctorate,Statistics,2007,0
Augusta University,Master,Biostatistics,2007,0
Augusta University,Doctorate,Biostatistics,2007,0
"Baruch College, City University of New York",Master,Statistics,2007,0
Boston University,Master,Statistics,2007,0
Bowling Green State University,Doctorate,Statistics,2007,0
"California State University, East Bay",Master,Biostatistics,2007,0
California State University-Fullerton,Master,Statistics,2007,0
